电影名称,链接,评分
肖申克的救赎,https://movie.douban.com/subject/1292052/,9.7
霸王别姬,https://movie.douban.com/subject/1291546/,9.6
泰坦尼克号,https://movie.douban.com/subject/1292722/,9.5
阿甘正传,https://movie.douban.com/subject/1292720/,9.5
千与千寻,https://movie.douban.com/subject/1291561/,9.4
美丽人生,https://movie.douban.com/subject/1292063/,9.5
星际穿越,https://movie.douban.com/subject/1889243/,9.4
这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4
盗梦空间,https://movie.douban.com/subject/3541415/,9.4
楚门的世界,https://movie.douban.com/subject/1292064/,9.4
辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5
忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.4
海上钢琴师,https://movie.douban.com/subject/1292001/,9.3
疯狂动物城,https://movie.douban.com/subject/25662329/,9.3
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2
机器人总动员,https://movie.douban.com/subject/2131459/,9.3
放牛班的春天,https://movie.douban.com/subject/1291549/,9.3
无间道,https://movie.douban.com/subject/1307914/,9.3
控方证人,https://movie.douban.com/subject/1296141/,9.6
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,9.2
熔炉,https://movie.douban.com/subject/5912992/,9.3
寻梦环游记,https://movie.douban.com/subject/20495023/,9.1
触不可及,https://movie.douban.com/subject/6786002/,9.3
教父,https://movie.douban.com/subject/1291841/,9.3
当幸福来敲门,https://movie.douban.com/subject/1849031/,9.1
末代皇帝,https://movie.douban.com/subject/1293172/,9.3
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,9.2
龙猫,https://movie.douban.com/subject/1291560/,9.2
活着,https://movie.douban.com/subject/1292365/,9.3
怦然心动,https://movie.douban.com/subject/3319755/,9.1
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.2
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.3
我不是药神,https://movie.douban.com/subject/26752088/,9.0
乱世佳人,https://movie.douban.com/subject/1300267/,9.3
飞屋环游记,https://movie.douban.com/subject/2129039/,9.1
让子弹飞,https://movie.douban.com/subject/3742360/,9.0
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,9.1
十二怒汉,https://movie.douban.com/subject/1293182/,9.4
海蒂和爷爷,https://movie.douban.com/subject/25958717/,9.3
素媛,https://movie.douban.com/subject/21937452/,9.3
猫鼠游戏,https://movie.douban.com/subject/1305487/,9.1
天空之城,https://movie.douban.com/subject/1291583/,9.2
鬼子来了,https://movie.douban.com/subject/1291858/,9.3
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,9.0
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,9.1
钢琴家,https://movie.douban.com/subject/1296736/,9.3
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,9.2
死亡诗社,https://movie.douban.com/subject/1291548/,9.2
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,9.0
何以为家,https://movie.douban.com/subject/30170448/,9.1
绿皮书,https://movie.douban.com/subject/27060077/,8.9
闻香识女人,https://movie.douban.com/subject/1298624/,9.1
大闹天宫,https://movie.douban.com/subject/1418019/,9.4
黑客帝国,https://movie.douban.com/subject/1291843/,9.1
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,9.1
罗马假日,https://movie.douban.com/subject/1293839/,9.1
教父2,https://movie.douban.com/subject/1299131/,9.3
